Title,Episode Number,Subtitle Data
The Immortal Ascension - A Record of a Mortal's Journey to Immortality (Live Action),30,"[{""src"": ""https://sub.streamsub.top/English-EP30-The-Immortal-Ascension.srt.txt1"", ""label"": ""English"", ""land"": ""en"", ""default"": true}, {""src"": ""https://sub.streamsub.top/Indonesian-EP30-The-Immortal-Ascension.srt.txt1"", ""label"": ""Indonesia"", ""land"": ""id"", ""default"": false}, {""src"": ""https://sub.streamsub.top/Malay-EP30-The-Immortal-Ascension.srt.txt1"", ""label"": ""Malay"", ""land"": ""ms"", ""default"": false}, {""src"": ""https://sub.streamsub.top/English-EP30-The-Immortal-Ascension.ar.srt.txt1"", ""label"": ""Arabic"", ""land"": ""ar"", ""default"": false}, {""src"": ""https://sub.streamsub.top/English-EP30-The-Immortal-Ascension.km.srt.txt1"", ""label"": ""Khmer"", ""land"": ""km"", ""default"": false}]"
The Immortal Ascension - A Record of a Mortal's Journey to Immortality (Live Action),26,"[{""src"": ""https://sub.streamsub.top/English-EP26-The-Immortal-Ascension.srt.txt1"", ""label"": ""English"", ""land"": ""en"", ""default"": true}, {""src"": ""https://sub.streamsub.top/Indonesian-EP26-The-Immortal-Ascension.srt.txt1"", ""label"": ""Indonesia"", ""land"": ""id"", ""default"": false}, {""src"": ""https://sub.streamsub.top/Malay-EP26-The-Immortal-Ascension.srt.txt1"", ""label"": ""Malay"", ""land"": ""ms"", ""default"": false}, {""src"": ""https://sub.streamsub.top/English-EP26-The-Immortal-Ascension.ar.srt.txt1"", ""label"": ""Arabic"", ""land"": ""ar"", ""default"": false}, {""src"": ""https://sub.streamsub.top/English-EP26-The-Immortal-Ascension.km.srt.txt1"", ""label"": ""Khmer"", ""land"": ""km"", ""default"": false}]"
The Immortal Ascension - A Record of a Mortal's Journey to Immortality (Live Action),27,"[{""src"": ""https://sub.streamsub.top/English-EP27-The-Immortal-Ascension.srt.txt1"", ""label"": ""English"", ""land"": ""en"", ""default"": true}, {""src"": ""https://sub.streamsub.top/Indonesian-EP27-The-Immortal-Ascension.srt.txt1"", ""label"": ""Indonesia"", ""land"": ""id"", ""default"": false}, {""src"": ""https://sub.streamsub.top/Malay-EP27-The-Immortal-Ascension.srt.txt1"", ""label"": ""Malay"", ""land"": ""ms"", ""default"": false}, {""src"": ""https://sub.streamsub.top/English-EP27-The-Immortal-Ascension.ar.srt.txt1"", ""label"": ""Arabic"", ""land"": ""ar"", ""default"": false}, {""src"": ""https://sub.streamsub.top/English-EP27-The-Immortal-Ascension.km.srt.txt1"", ""label"": ""Khmer"", ""land"": ""km"", ""default"": false}]"
The Immortal Ascension - A Record of a Mortal's Journey to Immortality (Live Action),25,"[{""src"": ""https://sub.streamsub.top/English-EP25-The-Immortal-Ascension.srt.txt1"", ""label"": ""English"", ""land"": ""en"", ""default"": true}, {""src"": ""https://sub.streamsub.top/Indonesian-EP25-The-Immortal-Ascension.srt.txt1"", ""label"": ""Indonesia"", ""land"": ""id"", ""default"": false}, {""src"": ""https://sub.streamsub.top/Malay-EP25-The-Immortal-Ascension.srt.txt1"", ""label"": ""Malay"", ""land"": ""ms"", ""default"": false}, {""src"": ""https://sub.streamsub.top/English-EP25-The-Immortal-Ascension.ar.srt.txt1"", ""label"": ""Arabic"", ""land"": ""ar"", ""default"": false}, {""src"": ""https://sub.streamsub.top/English-EP25-The-Immortal-Ascension.km.srt.txt1"", ""label"": ""Khmer"", ""land"": ""km"", ""default"": false}]"
The Immortal Ascension - A Record of a Mortal's Journey to Immortality (Live Action),28,"[{""src"": ""https://sub.streamsub.top/English-EP28-The-Immortal-Ascension.srt.txt1"", ""label"": ""English"", ""land"": ""en"", ""default"": true}, {""src"": ""https://sub.streamsub.top/Indonesian-EP28-The-Immortal-Ascension.srt.txt1"", ""label"": ""Indonesia"", ""land"": ""id"", ""default"": false}, {""src"": ""https://sub.streamsub.top/Malay-EP28-The-Immortal-Ascension.srt.txt1"", ""label"": ""Malay"", ""land"": ""ms"", ""default"": false}, {""src"": ""https://sub.streamsub.top/English-EP28-The-Immortal-Ascension.ar.srt.txt1"", ""label"": ""Arabic"", ""land"": ""ar"", ""default"": false}, {""src"": ""https://sub.streamsub.top/English-EP28-The-Immortal-Ascension.km.srt.txt1"", ""label"": ""Khmer"", ""land"": ""km"", ""default"": false}]"
The Immortal Ascension - A Record of a Mortal's Journey to Immortality (Live Action),29,"[{""src"": ""https://sub.streamsub.top/English-EP29-The-Immortal-Ascension.srt.txt1"", ""label"": ""English"", ""land"": ""en"", ""default"": true}, {""src"": ""https://sub.streamsub.top/Indonesian-EP29-The-Immortal-Ascension.srt.txt1"", ""label"": ""Indonesia"", ""land"": ""id"", ""default"": false}, {""src"": ""https://sub.streamsub.top/Malay-EP29-The-Immortal-Ascension.srt.txt1"", ""label"": ""Malay"", ""land"": ""ms"", ""default"": false}, {""src"": ""https://sub.streamsub.top/English-EP29-The-Immortal-Ascension.ar.srt.txt1"", ""label"": ""Arabic"", ""land"": ""ar"", ""default"": false}, {""src"": ""https://sub.streamsub.top/English-EP29-The-Immortal-Ascension.km.srt.txt1"", ""label"": ""Khmer"", ""land"": ""km"", ""default"": false}]"
The Immortal Ascension - A Record of a Mortal's Journey to Immortality (Live Action),24,"[{""src"": ""https://sub.streamsub.top/English-EP24-The-Immortal-Ascension.srt.txt1"", ""label"": ""English"", ""land"": ""en"", ""default"": true}, {""src"": ""https://sub.streamsub.top/Indonesian-EP24-The-Immortal-Ascension.srt.txt1"", ""label"": ""Indonesia"", ""land"": ""id"", ""default"": false}, {""src"": ""https://sub.streamsub.top/Malay-EP24-The-Immortal-Ascension.srt.txt1"", ""label"": ""Malay"", ""land"": ""ms"", ""default"": false}, {""src"": ""https://sub.streamsub.top/English-EP24-The-Immortal-Ascension.ar.srt.txt1"", ""label"": ""Arabic"", ""land"": ""ar"", ""default"": false}, {""src"": ""https://sub.streamsub.top/English-EP24-The-Immortal-Ascension.km.srt.txt1"", ""label"": ""Khmer"", ""land"": ""km"", ""default"": false}]"
The Immortal Ascension - A Record of a Mortal's Journey to Immortality (Live Action),23,"[{""src"": ""https://sub.streamsub.top/English-EP23-The-Immortal-Ascension.srt.txt1"", ""label"": ""English"", ""land"": ""en"", ""default"": true}, {""src"": ""https://sub.streamsub.top/Indonesian-EP23-The-Immortal-Ascension.srt.txt1"", ""label"": ""Indonesia"", ""land"": ""id"", ""default"": false}, {""src"": ""https://sub.streamsub.top/Malay-EP23-The-Immortal-Ascension.srt.txt1"", ""label"": ""Malay"", ""land"": ""ms"", ""default"": false}, {""src"": ""https://sub.streamsub.top/English-EP23-The-Immortal-Ascension.ar.srt.txt1"", ""label"": ""Arabic"", ""land"": ""ar"", ""default"": false}, {""src"": ""https://sub.streamsub.top/English-EP23-The-Immortal-Ascension.km.srt.txt1"", ""label"": ""Khmer"", ""land"": ""km"", ""default"": false}]"
The Immortal Ascension - A Record of a Mortal's Journey to Immortality (Live Action),22,"[{""src"": ""https://sub.streamsub.top/English-EP22-The-Immortal-Ascension.srt.txt1"", ""label"": ""English"", ""land"": ""en"", ""default"": true}, {""src"": ""https://sub.streamsub.top/Indonesian-EP22-The-Immortal-Ascension.srt.txt1"", ""label"": ""Indonesia"", ""land"": ""id"", ""default"": false}, {""src"": ""https://sub.streamsub.top/Malay-EP22-The-Immortal-Ascension.srt.txt1"", ""label"": ""Malay"", ""land"": ""ms"", ""default"": false}, {""src"": ""https://sub.streamsub.top/English-EP22-The-Immortal-Ascension.ar.srt.txt1"", ""label"": ""Arabic"", ""land"": ""ar"", ""default"": false}, {""src"": ""https://sub.streamsub.top/English-EP22-The-Immortal-Ascension.km.srt.txt1"", ""label"": ""Khmer"", ""land"": ""km"", ""default"": false}]"
The Immortal Ascension - A Record of a Mortal's Journey to Immortality (Live Action),21,"[{""src"": ""https://sub.streamsub.top/English-EP21-The-Immortal-Ascension.srt.txt1"", ""label"": ""English"", ""land"": ""en"", ""default"": true}, {""src"": ""https://sub.streamsub.top/Indonesian-EP21-The-Immortal-Ascension.srt.txt1"", ""label"": ""Indonesia"", ""land"": ""id"", ""default"": false}, {""src"": ""https://sub.streamsub.top/Malay-EP21-The-Immortal-Ascension.srt.txt1"", ""label"": ""Malay"", ""land"": ""ms"", ""default"": false}, {""src"": ""https://sub.streamsub.top/English-EP21-The-Immortal-Ascension.ar.srt.txt1"", ""label"": ""Arabic"", ""land"": ""ar"", ""default"": false}, {""src"": ""https://sub.streamsub.top/English-EP21-The-Immortal-Ascension.km.srt.txt1"", ""label"": ""Khmer"", ""land"": ""km"", ""default"": false}]"
